wT,wAT,wH,wP,wR,wTT,wWD,wWS
15491.132,29.0,16.7,1015.0,False,45.0,189,2.6
15551.117,29.0,16.7,1015.0,False,44.9,196,3.7
15611.13,28.9,16.5,1015.0,False,45.0,180,1.9
15671.13,28.6,16.8,1014.9,False,44.3,185,2.1
15731.132,28.5,16.9,1014.9,False,44.8,187,3.1
15791.56,28.5,17.0,1014.8,False,44.7,187,2.4
15851.121,28.6,17.1,1014.9,False,44.7,210,2.4
15911.18,28.8,16.8,1014.9,False,44.8,197,2.0
15971.129,29.0,16.7,1014.8,False,44.6,228,1.4
16031.12,29.0,16.5,1014.9,False,45.2,215,1.6
16091.132,29.1,16.1,1014.9,False,45.1,208,2.8
16151.133,28.9,15.9,1014.9,False,45.0,240,1.7
16211.133,28.9,16.4,1014.9,False,45.0,169,2.0
16271.137,28.9,16.7,1014.9,False,44.8,202,3.0
16331.13,28.8,16.3,1014.8,False,45.0,200,2.1
16391.134,28.8,16.3,1014.8,False,45.0,200,2.1
16451.225,28.9,16.6,1014.9,False,44.8,212,2.5
16511.274,29.0,16.0,1014.8,False,44.8,204,2.5
16571.135,28.9,15.9,1014.8,False,44.6,193,2.4
16631.141,28.8,16.3,1014.8,False,43.8,193,1.8
16691.139,28.8,16.0,1014.9,False,44.6,193,1.9
16751.155,28.8,16.5,1014.8,False,44.6,178,1.5
16811.136,28.9,16.2,1014.8,False,44.7,196,1.4
16871.138,29.0,16.1,1014.7,False,44.7,190,2.0
16931.143,29.0,16.2,1014.8,False,44.6,190,3.1
16991.137,28.9,15.7,1014.8,False,44.1,207,3.0
17051.149,28.9,15.7,1014.8,False,44.2,250,2.2
17111.351,28.9,16.0,1014.7,False,44.4,213,2.7
17171.138,29.0,15.9,1014.8,False,44.2,203,2.0
17231.144,29.0,15.8,1014.7,False,44.1,192,2.5
17291.166,29.0,16.1,1014.7,False,44.2,197,2.4
17351.178,29.0,16.0,1014.8,False,43.9,200,2.1
17411.19,29.2,16.2,1014.7,False,44.0,196,3.0
17471.199,29.1,15.8,1014.7,False,43.9,199,3.1
17531.205,29.0,15.9,1014.8,False,43.7,201,2.5
17591.195,29.0,16.3,1014.8,False,43.8,205,2.5
17651.878,29.0,15.8,1014.7,False,43.7,213,2.6
17711.938,29.0,16.0,1014.8,False,43.3,211,3.0
17771.218,29.0,16.3,1014.8,False,43.3,202,3.1
17831.219,29.0,15.9,1014.7,False,43.4,213,2.3
17891.243,28.9,16.0,1014.8,False,43.3,212,2.8
17951.242,29.0,16.0,1014.7,False,43.0,214,2.5
18011.23,29.0,16.2,1014.8,False,43.0,215,3.1
18071.78,28.9,15.9,1014.8,False,42.8,210,2.5
18131.245,28.9,16.3,1014.8,False,43.0,204,2.1
18191.244,28.8,16.2,1014.7,False,43.2,230,1.8
18251.249,28.9,16.2,1014.7,False,43.0,200,2.3
18311.263,28.9,16.2,1014.7,False,42.7,210,3.6
18371.246,28.9,16.2,1014.7,False,42.7,213,2.3
18431.246,28.9,16.4,1014.7,False,42.7,197,2.8
18491.248,29.0,16.1,1014.7,False,42.5,213,2.8
