wT,wAT,wH,wP,wR,wTT,wWD,wWS
14691.669,28.6,13.7,1014.6,False,41.2,314,1.3
14751.67,28.6,13.9,1014.6,False,41.9,231,1.2
14811.664,28.6,13.5,1014.5,False,41.7,306,0.6
14871.685,28.6,16.8,1014.6,False,41.1,299,0.7
14931.668,28.6,16.8,1014.6,False,41.1,299,0.7
14991.684,28.5,24.9,1014.5,False,41.8,54,0.4
15051.695,28.5,24.9,1014.5,False,41.8,54,0.4
15111.695,28.6,16.7,1014.5,False,41.7,170,0.8
15171.7,28.6,16.7,1014.5,False,41.7,170,0.8
15231.713,28.6,38.4,1014.5,False,39.5,227,1.6
15291.736,28.6,38.4,1014.5,False,39.5,227,1.6
15351.724,28.4,40.2,1014.4,False,41.1,231,0.7
15411.725,28.4,35.7,1014.4,False,40.6,322,0.9
15471.748,28.4,35.7,1014.4,False,40.6,322,0.9
15531.769,28.4,15.1,1014.4,False,41.8,206,1.8
15591.753,28.4,15.1,1014.4,False,41.8,206,1.8
15651.767,28.6,26.3,1014.5,False,40.9,15,1.6
15711.747,28.6,26.3,1014.5,False,40.9,15,1.6
15771.754,28.5,32.6,1014.3,False,41.2,353,2.0
15831.766,28.5,32.6,1014.3,False,41.2,353,2.0
15891.747,28.4,22.1,1014.3,False,40.8,341,0.5
15951.77,28.4,22.1,1014.3,False,40.8,341,0.5
16011.759,28.3,33.7,1014.4,False,41.5,349,2.3
16071.776,28.4,18.2,1014.3,False,39.9,323,2.1
16131.77,28.4,18.2,1014.3,False,39.9,323,2.1
16191.776,28.5,21.1,1014.3,False,41.2,324,0.9
16251.752,28.5,21.1,1014.3,False,41.2,324,0.9
16311.774,28.4,26.0,1014.4,False,40.8,317,0.9
16371.753,28.4,26.0,1014.4,False,40.8,317,0.9
16431.769,28.4,19.2,1014.3,False,40.6,295,0.4
16491.778,28.4,19.2,1014.3,False,40.6,295,0.4
16551.754,28.5,13.4,1014.3,False,40.7,313,1.0
16611.78,28.5,14.2,1014.3,False,41.1,293,0.6
16671.762,28.4,16.8,1014.3,False,40.6,272,1.2
16731.774,28.4,16.8,1014.3,False,40.6,272,1.2
16791.777,28.4,13.4,1014.2,False,40.3,269,1.0
16851.794,28.5,13.6,1014.1,False,40.9,317,0.5
16911.783,28.5,15.0,1014.2,False,41.3,322,0.6
16971.782,28.5,20.0,1014.2,False,41.9,93,0.7
17031.782,28.5,20.0,1014.2,False,41.9,93,0.7
17091.782,28.4,35.8,1014.2,False,40.3,261,0.9
17151.784,28.4,35.8,1014.2,False,40.3,261,0.9
17211.786,28.4,29.7,1014.2,False,41.1,1,0.6
17271.808,28.3,25.1,1014.2,False,40.8,323,1.3
17331.835,28.3,25.1,1014.2,False,40.8,323,1.3
17391.835,28.3,36.4,1014.3,False,40.4,63,0.6
17451.865,28.3,36.4,1014.3,False,40.4,63,0.6
17511.859,28.2,39.0,1014.1,False,40.5,15,1.0
17571.86,28.2,38.8,1014.1,False,39.7,334,0.4
17631.888,28.1,38.5,1014.2,False,40.2,352,1.2
17691.897,28.0,38.4,1014.2,False,39.1,301,0.5
17751.896,27.9,38.9,1014.2,False,40.0,310,0.6
17811.912,27.8,38.8,1014.2,False,40.5,9,1.3
17871.902,27.7,39.3,1014.2,False,40.5,38,0.9
17931.903,27.7,40.0,1014.2,False,40.4,0,0.7
17991.916,27.8,39.5,1014.1,False,40.3,360,0.6
18051.928,27.8,39.9,1014.1,False,39.5,298,0.9
18111.922,27.7,40.3,1014.2,False,39.6,274,0.7
18171.914,27.7,40.7,1014.2,False,39.6,0,0.0
18231.917,27.8,39.7,1014.2,False,40.4,142,1.1
18291.923,27.8,39.5,1014.2,False,40.2,5,1.0
18351.932,27.7,39.5,1014.2,False,39.3,346,1.1
18411.933,27.7,39.2,1014.3,False,39.6,348,1.2
18471.945,27.6,38.9,1014.2,False,40.0,124,1.3
18531.946,27.4,39.2,1014.2,False,40.2,26,0.9
18591.954,27.2,39.9,1014.2,False,39.3,359,1.3
18651.933,26.9,40.0,1014.2,False,40.0,13,0.6
18711.955,26.8,39.3,1014.2,False,39.8,64,0.7
18771.954,26.8,39.7,1014.2,False,40.1,5,0.6
18831.968,26.8,39.4,1014.2,False,38.6,311,1.1
18891.989,26.8,39.1,1014.2,False,39.0,316,1.0
18951.988,26.8,39.5,1014.1,False,38.9,217,1.0
19011.988,26.8,39.2,1014.2,False,39.7,353,0.4
19072.018,26.7,38.5,1014.2,False,39.4,30,0.9
19132.039,26.6,39.2,1014.1,False,39.0,293,0.4
19192.028,26.7,39.4,1014.2,False,39.6,25,0.6
19252.036,26.7,39.3,1014.2,False,39.6,95,0.3
19312.054,26.7,39.4,1014.2,False,39.1,0,0.0
19372.07,26.8,39.2,1014.2,False,39.1,6,0.8
19432.097,26.8,39.2,1014.3,False,39.1,300,0.6
19492.092,26.8,39.4,1014.2,False,38.5,22,0.6
19552.096,26.9,38.3,1014.2,False,38.6,0,0.0
19612.072,26.9,37.8,1014.3,False,38.2,333,1.2
19672.071,26.8,39.3,1014.2,False,38.4,18,0.6
19732.107,26.7,41.2,1014.2,False,38.2,340,0.8
19792.093,26.6,42.1,1014.2,False,37.8,25,0.8
19852.066,26.6,41.6,1014.3,False,37.8,33,0.8
19912.085,26.5,41.8,1014.2,False,37.9,41,1.9
19972.109,26.4,42.6,1014.2,False,37.2,33,1.5
20032.098,26.3,43.1,1014.1,False,37.3,348,0.9
20092.1,26.3,42.9,1014.1,False,36.7,30,0.7
20152.094,26.4,42.3,1014.1,False,36.9,30,0.9
20212.096,26.5,42.2,1014.1,False,36.3,277,1.0
20272.099,26.4,41.8,1014.1,False,36.5,194,0.6
20332.096,26.3,41.3,1014.2,False,36.0,356,1.1
20392.124,26.3,40.9,1014.2,False,36.7,114,2.0
20452.152,26.2,40.8,1014.2,False,37.0,115,0.7
20512.152,26.2,41.0,1014.1,False,37.0,302,0.4
20572.174,26.2,41.0,1014.1,False,37.0,302,0.4
20632.172,26.2,41.0,1014.1,False,37.0,302,0.4
20692.203,26.1,42.1,1014.1,False,35.7,304,0.8
20752.202,26.1,41.8,1014.2,False,36.7,22,1.8
20812.179,26.1,42.0,1014.1,False,36.1,30,0.8
20872.202,26.1,42.5,1014.2,False,36.7,9,0.5
20932.215,26.1,42.5,1014.2,False,36.7,9,0.5
20992.228,26.0,41.9,1014.1,False,36.7,27,0.9
21052.228,26.0,41.9,1014.3,False,36.6,38,0.9
21112.244,25.9,42.4,1014.2,False,36.4,338,0.9
21172.219,25.9,42.4,1014.2,False,36.5,353,0.8
21232.229,25.9,42.2,1014.2,False,36.6,358,0.4
21292.229,25.9,41.8,1014.3,False,35.1,290,0.9
21352.229,26.0,42.2,1014.2,False,35.5,336,0.4
21412.23,26.0,42.2,1014.2,False,35.5,336,0.4
21472.227,25.9,42.6,1014.2,False,36.0,27,0.5
21532.246,26.0,44.8,1014.2,False,36.1,0,0.0
21592.23,25.9,45.4,1014.1,False,36.2,178,0.3
21652.25,26.0,44.8,1014.2,False,35.7,0,0.0
21712.231,26.0,44.2,1014.2,False,35.8,333,0.4
21772.232,25.9,44.3,1014.3,False,36.1,240,0.6
21832.231,25.9,43.9,1014.3,False,35.6,200,0.6
